brand_name,category,subcategory,website,founded_year,headquarters,description,shopify_confirmed,source,employee_count,founder_1,founder_2,founder_3,linkedin_1,linkedin_2,linkedin_3
Craft & Mason,Food & Beverage,Coffee,craftandmason.com,2017,USA,Fresh-roasted coffee delivered,Yes,Shopify success story,,,,,,,
Barefoot Coffee,Food & Beverage,Coffee,barefootcoffee.com,2003,San Jose CA,Family-run boutique roaster,Yes,Industry site,,,,,,,
Nossa Familia,Food & Beverage,Coffee,nossacoffee.com,2004,Portland OR,Direct trade specialty coffee,Yes,Industry site,,,,,,,
Groundwork Coffee,Food & Beverage,Coffee,groundworkcoffee.com,1990,Venice Beach CA,Organic coffee roaster,Yes,Industry site,,,,,,,
Verve Coffee,Food & Beverage,Coffee,vervecoffee.com,2007,Santa Cruz CA,Silicon Valley favorite coffee,Yes,Shopify features,,Colby Barr,Ryan O'Donovan,,https://www.linkedin.com/in/colby-barr-2a96472/,https://www.linkedin.com/in/ryan-o-donovan-2476a362/,
Brio Coffeeworks,Food & Beverage,Coffee,briocoffeeworks.com,2014,Burlington VT,Specialty roaster and espresso bar,Yes,Industry site,,,,,,,
Independence Coffee,Food & Beverage,Coffee,independencecoffee.com,2002,Texas,100% Arabica Texas roaster,Yes,Industry site,,,,,,,
La Tourangelle,Food & Beverage,Oils,latourangelle.com,2002,California,Artisan small-batch oils,Yes,D2C directory,91,Matthieu Kohlmeyer,,,https://www.linkedin.com/search/results/all/?keywords=matthieu%20kohlmeyer%20la%20tourangelle,,
The Olive Tap,Food & Beverage,Oils,theolivetap.com,2006,USA,Premium olive oils and vinegars,Yes,Industry site,,,,,,,
Viva Oliva,Food & Beverage,Oils,vivaoliva.com,2010,Santa Barbara CA,Artisan olive oils,Yes,Industry site,,,,,,,
Saratoga Olive Oil,Food & Beverage,Oils,saratogaoliveoil.com,2010,Saratoga Springs NY,Gourmet olive oils,Yes,Industry site,,,,,,,
FIORE Artisan,Food & Beverage,Oils,fioreoliveoils.com,2009,Maine,Extra virgin olive oils,Yes,Industry site,,,,,,,
Beyond The Olive,Food & Beverage,Oils,beyondtheolive.com,2011,Los Angeles CA,California olive oils,Yes,Industry site,,,,,,,
Graza,Food & Beverage,Oils,graza.co,2022,USA,Squeeze bottle olive oil,Yes,D2C directory,,Andrew Benin,Allen Dushi,,https://www.linkedin.com/search/results/all/?keywords=andrew%20benin%20graza,https://www.linkedin.com/search/results/all/?keywords=allen%20dushi%20graza,
Brightland,Food & Beverage,Oils,brightland.co,2018,Los Angeles CA,Small-batch California olive oil,Yes,D2C directory,,Aishwarya Iyer,,,https://www.linkedin.com/in/aishwaryaiyer/,,
Beiler Family Farm,Food & Beverage,Maple/Honey,beilerfamilyfarm.com,2010,Pennsylvania,Artisan maple syrup and honey,Yes,Farm direct,,,,,,,
Paul Family Farms,Food & Beverage,Maple/Honey,paulfamilyfarms.com,1865,Pennsylvania,Wood-fired maple syrup,Yes,Farm direct,,,,,,,
Spring Break Maple,Food & Beverage,Maple/Honey,mainemapleandhoney.com,2015,Maine,Handcrafted single origin maple,Yes,Farm direct,,,,,,,
Eureka Farms,Food & Beverage,Maple/Honey,eurekafarmsmaine.com,2010,Maine,Maine maple products,Yes,Farm direct,,,,,,,
Dutch Gold Honey,Food & Beverage,Honey,dutchgoldhoney.com,1946,Pennsylvania,Original honey bear brand,Yes,Industry site,,,,,,,
Pepper Palace,Food & Beverage,Hot Sauce,pepperpalace.com,1989,USA,Small-batch hot sauces,Yes,Shopify Plus,,Craig Migawa,Tanya Migawa,,https://www.linkedin.com/search/results/all/?keywords=craig%20migawa%20pepper%20palace,https://www.linkedin.com/in/tanya-migawa-b82b5bab/,
Heatonist,Food & Beverage,Hot Sauce,heatonist.com,2014,New York NY,Curated indie hot sauce marketplace,Yes,Shopify features,,Noah Chaimberg,,,https://www.linkedin.com/in/noahchaimberg/,,
CustomHeats,Food & Beverage,Hot Sauce,customheats.com,2020,USA,Customizable hot sauce,Yes,Shopify features,,,,,,,
Hotmaple Foods,Food & Beverage,Hot Sauce,hotmaplefoods.com,2018,Canada,Artisan hot sauce,Yes,Shopify success story,,,,,,,
Starlight Distillery,Food & Beverage,Spirits,starlightdistillery.com,2001,Indiana,Small-batch craft spirits,Yes,Industry site,,,,,,,
Crater Lake Spirits,Food & Beverage,Spirits,craterlakespirits.com,1996,Bend OR,Oregon craft distillery,Yes,Industry site,,,,,,,
Pacific Coast Spirits,Food & Beverage,Spirits,paccoastspirits.com,2018,San Diego CA,Grain-to-glass distillery,Yes,Industry site,,,,,,,
SŚAINT,Beauty,Fragrance,ssaint.co,2019,USA,Clean luxury fragrance,Yes,D2C directory,6,Ciara Mahoney,Elle Wallace,,https://au.linkedin.com/in/ciara-mahoney-3681b137,https://www.linkedin.com/search/results/all/?keywords=elle%20wallace%20ssaint,
Jones Road,Beauty,Makeup,jonesroadbeauty.com,2020,USA,Clean makeup by Bobbi Brown,Yes,D2C directory,136,Bobbi Brown,,,https://www.linkedin.com/in/justbobbibrown/,,
Depology,Beauty,Skincare,depology.com,2020,USA,Science-backed skincare,Yes,D2C directory,,Alex Lee,Hansol Song,,https://www.linkedin.com/search/results/all/?keywords=alex%20lee%20depology,https://www.linkedin.com/search/results/all/?keywords=hansol%20song%20depology,
Truly Beauty,Beauty,Skincare,trulybeauty.com,2018,USA,Cruelty-free body care,Yes,D2C directory,,Maxx Appelman,,,https://www.linkedin.com/in/maxxappelman/,,
Fièra Cosmetics,Beauty,Makeup,fieracosmetics.com,2018,USA,Makeup for mature skin,Yes,D2C directory,26,Marc Lutz,Dan Carnat,,https://www.linkedin.com/search/results/all/?keywords=marc%20lutz%20fiera,https://www.linkedin.com/search/results/all/?keywords=dan%20carnat%20fiera,
Maelys,Beauty,Body Care,maelyscosmetics.com,2017,USA,Body-contouring cosmetics,Yes,D2C directory,51,Tomer Arzoan,Yaniv Dagan,Daniel De Castro,https://www.linkedin.com/search/results/all/?keywords=tomer%20arzoan%20maelys,https://www.linkedin.com/search/results/all/?keywords=yaniv%20dagan%20maelys,https://www.linkedin.com/search/results/all/?keywords=daniel%20de%20castro%20maelys
Ocoa,Beauty,Skincare,ocoa.com,2020,USA,Premium skincare,Yes,D2C directory,,,,,,,
Laura Geller,Beauty,Makeup,laurageller.com,1997,New York NY,Color cosmetics brand,Yes,D2C directory,,,,,,,
Hello Bubble,Beauty,Hair Color,hellobubble.com,2019,Korea/USA,Foam hair color,Yes,D2C directory,,,,,,,
Dermaesthetics,Beauty,Skincare,dermaesthetics.com,1992,USA,Professional skincare,Yes,D2C directory,,,,,,,
Saavy Naturals,Beauty,Body Care,saavynaturals.com,2011,USA,Natural body products,Yes,D2C directory,10,Hugo Saavedra,Debra Saavedra,,https://www.linkedin.com/search/results/all/?keywords=hugo%20saavedra%20saavy,https://www.linkedin.com/search/results/all/?keywords=debra%20saavedra%20saavy,
Merit,Beauty,Makeup,meritbeauty.com,2021,USA,Minimalist clean makeup,Yes,D2C directory,,Katherine Power,,,https://www.linkedin.com/in/katherine-power-2174715/,,
True Botanicals,Beauty,Skincare,truebotanicals.com,2014,Mill Valley CA,Luxury organic skincare,Yes,Industry list,,Hillary Peterson,Christina Mace-Turner,,https://www.linkedin.com/in/hillary-peterson-14297084/,https://www.linkedin.com/search/results/all/?keywords=christina%20mace-turner%20true%20botanicals,
Herbivore Botanicals,Beauty,Skincare,herbivorebotanicals.com,2011,Seattle WA,All-natural cruelty-free skincare,Yes,Shopify features,,Julia Wills,Alex Kummerow,,https://www.linkedin.com/in/julia-wills-a70727110/,https://www.linkedin.com/in/alex-kummerow-27364235,
Drunk Elephant,Beauty,Skincare,drunkelephant.com,2012,Houston TX,Clean-clinical skincare,Yes,Industry list,317,Tiffany Masterson,,,https://www.linkedin.com/in/tiffanymasterson/,,
Cocokind,Beauty,Skincare,cocokind.com,2014,San Francisco CA,Plant-based affordable skincare,Yes,Industry list,49,Priscilla Tsai,,,https://www.linkedin.com/in/priscilla-tsai-58564015/,,
Naturium,Beauty,Skincare,naturium.com,2020,USA,Clinically-effective formulas,Yes,Industry list,25,Susan Yara,Ben Bennett,,https://www.linkedin.com/in/susanyara/,https://www.linkedin.com/search/results/all/?keywords=ben%20bennett%20naturium,
Youth to the People,Beauty,Skincare,youthtothepeople.com,2015,Los Angeles CA,Vegan superfood skincare,Yes,Industry list,,Greg Gonzalez,Joe Cloyes,,https://www.linkedin.com/in/greg-gonzalez-5418a515b/,https://www.linkedin.com/search/results/all/?keywords=joe%20cloyes%20youth%20to%20the%20people,
Three Ships Beauty,Beauty,Skincare,threeshipsbeauty.com,2017,Toronto,Vegan cruelty-free under $40,Yes,Industry list,,Connie Lo,Laura Burget,,https://www.linkedin.com/in/connielo93/,https://ca.linkedin.com/in/laura-burget-24274657,
Hanahana Beauty,Beauty,Skincare,hanahanabeauty.com,2017,Chicago IL,Ethically sourced shea butter,Yes,Industry list,,Abena Boamah-Acheampong,,,https://www.linkedin.com/in/abena-boamah-acheampong-9a159a58/,,
Summer Fridays,Beauty,Skincare,summerfridays.com,2017,Los Angeles CA,Clean vegan skincare,Yes,Industry list,21,Marianna Hewitt,Lauren Gores Ireland,,https://www.linkedin.com/search/results/all/?keywords=marianna%20hewitt%20summer%20fridays,https://www.linkedin.com/in/lauren-ireland-a64412235/,
Indie Lee,Beauty,Skincare,indielee.com,2012,USA,Clean beauty grounded in nature,Yes,Industry site,,Indie Lee,,,https://www.linkedin.com/search/results/all/?keywords=indie%20lee%20founder,,
Namesake,Beauty,Skincare,namesakebeauty.com,2022,USA,Dermatologist-daughter skincare,Yes,Industry list,,,,,,,
Josh Rosebrook,Beauty,Skincare,joshrosebrook.com,2013,USA,Bio-designed formulas,Yes,Industry list,,,,,,,
Herb'n Eden,Beauty,Skincare,herbneden.com,2016,USA,Handmade soap and skincare,Yes,Shopify store,,,,,,,
Isla Beauty,Beauty,Skincare,islabeauty.co,2019,USA,High-aesthetic indie brand,Yes,Industry list,,,,,,,
Pure Good,Beauty,Skincare,puregoodskincare.com,2020,USA,Tallow-based skincare balms,Yes,Industry list,,,,,,,
ColourPop,Beauty,Makeup,colourpop.com,2014,Los Angeles CA,High-quality affordable makeup,Yes,Shopify features,,Laura Nelson,John Nelson,,https://www.linkedin.com/search/results/all/?keywords=laura%20nelson%20colourpop,https://www.linkedin.com/search/results/all/?keywords=john%20nelson%20colourpop,
Glossier,Beauty,Skincare/Makeup,glossier.com,2014,New York NY,Skincare-first beauty,Yes,D2C pioneer,,Emily Weiss,,,https://www.linkedin.com/in/emily-weiss-90848a1/,,
Kylie Cosmetics,Beauty,Makeup,kyliecosmetics.com,2015,Los Angeles CA,Celebrity beauty brand,Yes,Shopify Plus,,,,,,,
Doe Lashes,Beauty,Lashes,doelashes.com,2019,USA,Korean silk false lashes,Yes,Shopify features,,,,,,,
NCLA Beauty,Beauty,Nails,nclabeauty.com,2010,Los Angeles CA,Nail lacquers and wraps,Yes,Industry list,,,,,,,
Arctic Fox,Beauty,Hair Color,arcticfoxhaircolor.com,2014,USA,Vegan semi-permanent hair color,Yes,Shopify store,,,,,,,
Function of Beauty,Beauty,Hair Care,functionofbeauty.com,2015,New York NY,Customizable hair care,Yes,D2C leader,,Zahir Dossa,Joshua Maciejewski,,https://www.linkedin.com/in/zahirdossa/,https://www.linkedin.com/search/results/all/?keywords=joshua%20maciejewski%20function%20of%20beauty,
Prose,Beauty,Hair Care,prose.com,2017,New York NY,Custom hair formulations,Yes,D2C leader,,Arnaud Plas,Paul Michaux,Nicolas Mussat,https://www.linkedin.com/in/arnaudplas/,https://www.linkedin.com/in/paulmichaux/,https://www.linkedin.com/in/nicolasmussat/
Ouai,Beauty,Hair Care,theouai.com,2016,Los Angeles CA,Celebrity stylist hair care,Yes,D2C directory,,,,,,,
Sachajuan,Beauty,Hair Care,sachajuan.com,2004,Sweden/USA,Swedish hair care,Yes,Industry list,,,,,,,
Innersense,Beauty,Hair Care,innersensebeauty.com,2005,Concord CA,Organic hair care,Yes,Industry list,,,,,,,
Unwrapped Life,Beauty,Hair Care,unwrappedlife.com,2016,Canada,Plastic-free shampoo bars,Yes,Industry list,,,,,,,
Olaplex,Beauty,Hair Care,olaplex.com,2014,Santa Barbara CA,Bond-building hair repair,Yes,Shopify store,,,,,,,
Brooklyn Candle Studio,Home,Candles,brooklyncandlestudio.com,2013,Brooklyn NY,Small batch soy candles,Yes,Shopify success story,15,Tamara Mayne,Steve Mayne,,https://www.linkedin.com/in/tamaramayne/,https://www.linkedin.com/search/results/all/?keywords=steve%20mayne%20brooklyn%20candle,
P.F. Candle Co.,Home,Candles,pfcandleco.com,2008,Los Angeles CA,Handmade fragrance goods,Yes,Industry leader,71,Kristen Pumphrey,Thomas Neuberger,,https://www.linkedin.com/in/kristenpumphrey/,https://www.linkedin.com/in/thomas-neuberger-6180b5113/,
Voluspa,Home,Candles,voluspa.com,1999,Los Angeles CA,Luxury handcrafted candles,Yes,Industry list,,,,,,,
Paddywax,Home,Candles,paddywax.com,1996,Nashville TN,Artisan soy candles,Yes,Industry list,,,,,,,
Harlem Candle Co.,Home,Candles,harlemcandlecompany.com,2014,Harlem NY,Harlem Renaissance inspired,Yes,Industry list,,Teri Johnson,,,https://www.linkedin.com/search/results/all/?keywords=teri%20johnson%20harlem%20candle,,
Homesick,Home,Candles,homesick.com,2016,Brooklyn NY,Memory-evoking candles,Yes,D2C directory,18,Nate Schmiedehaus,,,https://www.linkedin.com/in/nate-schmiedehaus-51814549/,,
Spirit Of Persia,Home,Candles,spiritofpersia.com,2018,USA,Oriental luxury candles,Yes,D2C directory,,,,,,,
TOV Furniture,Home,Furniture,tovfurniture.com,2012,USA,Women-led contemporary furniture,Yes,D2C directory,,,,,,,
Poketo,Home,Lifestyle,poketo.com,2003,Los Angeles CA,Curated lifestyle goods,Yes,D2C directory,,,,,,,
Homethings,Home,Cleaning,homethings.co,2019,UK/USA,Refillable cleaning products,Yes,D2C directory,,,,,,,
Mustard Made,Home,Storage,mustardmade.com,2017,Australia/USA,Colorful lockers,Yes,D2C directory,,,,,,,
Plastno,Home,Cleaning,plastno.com,2020,USA,Sustainable cleaning essentials,Yes,D2C directory,,,,,,,
LetterFolk,Home,Decor,letterfolk.com,2015,USA,Letter boards and decor,Yes,D2C directory,,,,,,,
Onsen,Home,Bath,onsentowel.com,2017,USA,Quick-drying Japanese towels,Yes,D2C directory,,,,,,,
Sunday Lawn,Home,Lawn Care,sundaylawn.com,2019,Boulder CO,Custom lawn care nutrients,Yes,D2C directory,,,,,,,
Laundry Sauce,Home,Laundry,laundrysauce.com,2021,USA,Premium laundry pods,Yes,D2C directory,,,,,,,
Burrow,Home,Furniture,burrow.com,2016,New York NY,Modular sofa furniture,Yes,D2C pioneer,,Stephen Kuhl,Kabeer Chopra,,https://www.linkedin.com/in/stephenkuhl/,https://www.linkedin.com/in/kabeerchopra/,
Brooklinen,Home,Bedding,brooklinen.com,2014,Brooklyn NY,Luxury bedding direct,Yes,D2C pioneer,,Rich Fulop,Vicki Fulop,,https://www.linkedin.com/in/richfulop/,https://www.linkedin.com/in/vickifulop/,
Morrow Soft Goods,Home,Bedding,morrowsoftgoods.com,2017,Los Angeles CA,Premium linen bedding,Yes,Shopify features,,,,,,,
SIJO,Home,Bedding,sijohome.com,2017,USA,Sustainable performance bedding,Yes,Shopify store,,,,,,,
Sleepy Cat,Home,Bedding,sleepycat.in,2017,USA,Innovative sleep solutions,Yes,Shopify store,,,,,,,
RiLEY,Home,Bedding,rfrileyhome.com,2017,USA,Luxury bath and bed linens,Yes,Industry list,,,,,,,
Sunday Citizen,Home,Bedding,sundaycitizen.co,2018,USA,Soft eco-friendly blankets,Yes,Industry list,,,,,,,
Slip,Home,Bedding,slip.com,2004,USA,Luxury silk pillowcases,Yes,Industry list,,,,,,,
Boll & Branch,Home,Bedding,bollandbranch.com,2014,New Jersey,Organic cotton bedding,Yes,D2C leader,,,,,,,
Threaded,Home,Bedding,threadedhome.com,2022,USA,600-thread sateen sheets,Yes,Industry list,,,,,,,
Catbird NYC,Accessories,Jewelry,catbirdnyc.com,2004,Brooklyn NY,Artisanal ethical jewelry,Yes,Shopify store,100,Rony Vardi,,,https://www.linkedin.com/in/rony-vardi-a674606/,,
Vivien Frank,Accessories,Jewelry,vivienfrank.com,2012,Switzerland,Handmade boho jewelry,Yes,Industry list,,,,,,,
Rebel Nell,Accessories,Jewelry,rebelnell.com,2013,Detroit MI,Social enterprise jewelry,Yes,Industry list,,,,,,,
Pura Vida,Accessories,Jewelry,puravidabracelets.com,2010,La Jolla CA,Artisan Costa Rica bracelets,Yes,Shopify store,,Griffin Thall,Paul Goodman,,https://www.linkedin.com/in/griffinthall,https://www.linkedin.com/in/paul-goodman-1721a115/,
Embella,Accessories,Jewelry,embellajewelry.com,2015,USA,Coastal bohemian jewelry,Yes,Industry list,,,,,,,
Gorjana,Accessories,Jewelry,gorjana.com,2004,Laguna Beach CA,California layering jewelry,Yes,Shopify store,150,Gorjana Reidel,Jason Griffin Reidel,,https://www.linkedin.com/in/gorjana-reidel-1b1bb374/,https://www.linkedin.com/in/jason-griffin-reidel-2b533066/,
Miansai,Accessories,Jewelry,miansai.com,2008,Miami FL,Handmade fine jewelry,Yes,Shopify store,100,Michael Saiger,,,https://www.linkedin.com/in/michael-saiger-miansai-34224bb2/,,
Brandon Blackwood,Accessories,Bags,brandonblackwood.com,2015,Brooklyn NY,Black-owned accessories,Yes,Industry list,,,,,,,
Advene,Accessories,Bags,advene.co,2019,New York NY,Functional leather bags,Yes,Industry list,,,,,,,
Ciriaco,Accessories,Bags,ciriaconyc.com,2021,Bronx NY,Young designer handbags,Yes,Industry list,,,,,,,
Santos by Monica,Accessories,Bags,santosbymon.com,2019,Puerto Rico,Handmade cactus leather,Yes,Industry list,,,,,,,
XO GOGO,Accessories,Bags,xogogodesign.com,2018,New York NY,Stylish functional bags,Yes,Industry list,,,,,,,
